ref_date,geo,age_group,population,labour_force,employment,full_time_employment,part_time_employment,unemployment,unemployment_rate,participation_rate,employment_rate
Apr 2021,Quebec,15 years and over,7090.1,4521.2,4217.7,3502.2,715.5,303.5,6.7,63.8,59.5
Apr 2021,Quebec,15 to 24 years,907,623.7,542.1,265.2,276.8,81.7,13.1,68.8,59.8
Apr 2021,Quebec,25 years and over,6183.2,3897.5,3675.6,3237,438.6,221.9,5.7,63,59.4
Apr 2021,Quebec,25 to 54 years,3284.9,2919.6,2761.7,2506.9,254.8,158,5.4,88.9,84.1
Apr 2021,Quebec,55 years and over,2898.2,977.8,913.9,730.1,183.8,63.9,6.5,33.7,31.5
Apr 2022,Quebec,15 years and over,7136.7,4588.4,4392.2,3594.1,798.1,196.2,4.3,64.3,61.5
Apr 2022,Quebec,15 to 24 years,905.4,621.6,572.6,251.4,321.3,48.9,7.9,68.7,63.2
Apr 2022,Quebec,25 years and over,6231.3,3966.9,3819.6,3342.7,476.9,147.3,3.7,63.7,61.3
Apr 2022,Quebec,25 to 54 years,3287.4,2956,2858.7,2618.2,240.5,97.3,3.3,89.9,87
Apr 2022,Quebec,55 years and over,2943.9,1010.9,960.9,724.5,236.4,50,4.9,34.3,32.6
Jul 2019,Quebec,15 years and over,7006.9,4566.6,4344.9,3538,806.9,221.8,4.9,65.2,62
Jul 2019,Quebec,15 to 24 years,915.1,634.7,587,268,319,47.8,7.5,69.4,64.1
Jul 2019,Quebec,25 years and over,6091.8,3931.9,3757.9,3270,487.9,174,4.4,64.5,61.7
Jul 2019,Quebec,25 to 54 years,3290.7,2953.3,2820.4,2541,279.4,132.9,4.5,89.7,85.7
Jul 2019,Quebec,55 years and over,2801.1,978.6,937.5,729.1,208.4,41.2,4.2,34.9,33.5
Jul 2020,Quebec,15 years and over,7051.8,4522.1,4097.4,3349.7,747.7,424.7,9.4,64.1,58.1
Jul 2020,Quebec,15 to 24 years,908.2,618.3,505.2,210.5,294.7,113.1,18.3,68.1,55.6
Jul 2020,Quebec,25 years and over,6143.6,3903.8,3592.2,3139.2,453,311.6,8,63.5,58.5
Jul 2020,Quebec,25 to 54 years,3284.3,2940.8,2717.5,2451.5,266,223.2,7.6,89.5,82.7
Jul 2020,Quebec,55 years and over,2859.3,963,874.6,687.7,186.9,88.4,9.2,33.7,30.6
Jul 2021,Quebec,15 years and over,7097.9,4574.6,4286.1,3503.4,782.7,288.5,6.3,64.5,60.4
Jul 2021,Quebec,15 to 24 years,905.1,637.9,592.2,271.2,321.1,45.7,7.2,70.5,65.4
