"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-07","Saskatchewan","2016A000247","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064321","9.1.1.1.1.1","887.7","","","","1"
"2020-07","Saskatchewan","2016A000247","Population","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064348","9.1.1.2.1.1","134.5","","","","1"
"2020-07","Saskatchewan","2016A000247","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064429","9.1.1.5.1.1","753.2","","","","1"
"2020-07","Saskatchewan","2016A000247","Population","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064456","9.1.1.6.1.1","430.8","","","","1"
"2020-07","Saskatchewan","2016A000247","Population","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064483","9.1.1.7.1.1","322.4","","","","1"
"2020-07","Saskatchewan","2016A000247","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064322","9.2.1.1.1.1","605.0","","","","1"
"2020-07","Saskatchewan","2016A000247","Labour force","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064349","9.2.1.2.1.1","88.8","","","","1"
"2020-07","Saskatchewan","2016A000247","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064430","9.2.1.5.1.1","516.2","","","","1"
"2020-07","Saskatchewan","2016A000247","Labour force","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064457","9.2.1.6.1.1","382.6","","","","1"
"2020-07","Saskatchewan","2016A000247","Labour force","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064484","9.2.1.7.1.1","133.6","","","","1"
"2020-07","Saskatchewan","2016A000247","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064323","9.3.1.1.1.1","548.3","","","","1"
"2020-07","Saskatchewan","2016A000247","Employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064350","9.3.1.2.1.1","71.9","","","","1"
"2020-07","Saskatchewan","2016A000247","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064431","9.3.1.5.1.1","476.4","","","","1"
"2020-07","Saskatchewan","2016A000247","Employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064458","9.3.1.6.1.1","352.5","","","","1"
"2020-07","Saskatchewan","2016A000247","Employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064485","9.3.1.7.1.1","123.8","","","","1"
"2020-07","Saskatchewan","2016A000247","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064324","9.4.1.1.1.1","454.0","","","","1"
"2020-07","Saskatchewan","2016A000247","Full-time employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064351","9.4.1.2.1.1","42.2","","","","1"
"2020-07","Saskatchewan","2016A000247","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064432","9.4.1.5.1.1","411.7","","","","1"
"2020-07","Saskatchewan","2016A000247","Full-time employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064459","9.4.1.6.1.1","314.0","","","","1"
"2020-07","Saskatchewan","2016A000247","Full-time employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064486","9.4.1.7.1.1","97.8","","","","1"
"2020-07","Saskatchewan","2016A000247","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064325","9.5.1.1.1.1","94.3","","","","1"
"2020-07","Saskatchewan","2016A000247","Part-time employment ","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064352","9.5.1.2.1.1","29.7","","","","1"
"2020-07","Saskatchewan","2016A000247","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064433","9.5.1.5.1.1","64.6","","","","1"
"2020-07","Saskatchewan","2016A000247","Part-time employment ","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064460","9.5.1.6.1.1","38.6","","","","1"
"2020-07","Saskatchewan","2016A000247","Part-time employment ","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064487","9.5.1.7.1.1","26.1","","","","1"
"2020-07","Saskatchewan","2016A000247","Unemployment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064326","9.6.1.1.1.1","56.7","","","","1"
"2020-07","Saskatchewan","2016A000247","Unemployment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064353","9.6.1.2.1.1","16.9","","","","1"
"2020-07","Saskatchewan","2016A000247","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064434","9.6.1.5.1.1","39.8","","","","1"
"2020-07","Saskatchewan","2016A000247","Unemployment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064461","9.6.1.6.1.1","30.1","","","","1"
"2020-07","Saskatchewan","2016A000247","Unemployment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064488","9.6.1.7.1.1","9.8","","","","1"
"2020-07","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064327","9.7.1.1.1.1","9.4","","","","1"
"2020-07","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064354","9.7.1.2.1.1","19.0","","","","1"
