"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","59.16","","","","2"
"2018","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","62.56","","","","2"
"2019","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","52.63","","","","2"
"2020","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","66.33","","","","2"
"2021","Guelph, Ontario [35550]","2021A003535550","Violent crime severity index","Index","160","units","0","v52117766","46.3","51.55","","","","2"
"2006","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","","..","","","2"
"2007","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","-21.86","","","","2"
"2008","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","-13.70","","","","2"
"2009","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","21.27","","","","2"
"2010","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","-12.54","","","","2"
"2011","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","12.00","","","","2"
"2012","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","6.11","","","","2"
"2013","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","-20.33","","","","2"
"2014","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","10.95","","","","2"
"2015","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","1.36","","","","2"
"2016","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","4.46","","","","2"
"2017","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","18.63","","","","2"
"2018","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","5.75","","","","2"
"2019","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","-15.87","","","","2"
"2020","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","26.03","","","","2"
"2021","Guelph, Ontario [35550]","2021A003535550","Percent change in violent crime severity index","Percent","239","units","0","v52117767","46.4","-22.28","","","","2"
"2006","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","58.86","","","","2"
"2007","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","63.27","","","","2"
"2008","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","63.57","","","","2"
"2009","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","63.24","","","","2"
"2010","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","52.96","","","","2"
"2011","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","46.90","","","","2"
"2012","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","49.79","","","","2"
"2013","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","43.38","","","","2"
"2014","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","48.61","","","","2"
"2015","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","49.84","","","","2"
"2016","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","56.17","","","","2"
"2017","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","68.08","","","","2"
"2018","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","73.82","","","","2"
"2019","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","69.69","","","","2"
"2020","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","61.95","","","","2"
"2021","Guelph, Ontario [35550]","2021A003535550","Non-violent crime severity index","Index","160","units","0","v52117768","46.5","60.48","","","","2"
"2006","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","","..","","","2"
"2007","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","7.49","","","","2"
"2008","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","0.47","","","","2"
"2009","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","-0.52","","","","2"
"2010","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","-16.26","","","","2"
"2011","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","-11.44","","","","2"
"2012","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","6.16","","","","2"
"2013","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","-12.87","","","","2"
"2014","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","12.06","","","","2"
"2015","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","2.53","","","","2"
"2016","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","12.70","","","","2"
"2017","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","21.20","","","","2"
"2018","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","8.43","","","","2"
"2019","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","-5.59","","","","2"
"2020","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","-11.11","","","","2"
"2021","Guelph, Ontario [35550]","2021A003535550","Percent change in non-violent crime severity index","Percent","239","units","0","v52117769","46.6","-2.37","","","","2"
