"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","-0.70","","","","2"
"2020","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","1.95","","","","2"
"2021","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Percent change in crime severity index","Percent","239","units","0","v44312588","22.2","5.71","","","","2"
"2000","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","66.12","","","","2"
"2001","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","57.76","","","","2"
"2002","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","54.26","","","","2"
"2003","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","56.21","","","","2"
"2004","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","72.01","","","","2"
"2005","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","62.13","","","","2"
"2006","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","72.43","","","","2"
"2007","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","67.09","","","","2"
"2008","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","61.18","","","","2"
"2009","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","65.91","","","","2"
"2010","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","70.23","","","","2"
"2011","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","71.55","","","","2"
"2012","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","62.09","","","","2"
"2013","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","57.84","","","","2"
"2014","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","51.56","","","","2"
"2015","Kitchener-Cambridge-Waterloo, Ontario [35541]","2021A003535541","Violent crime severity index","Index","160","units","0","v44312589","22.3","55.46","","","","2"
