"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","-8.47","","","","2"
"2021","Montréal, Quebec [24462]","2021A003524462","Percent change in crime severity index","Percent","239","units","0","v44312540","14.2","5.89","","","","2"
"2000","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","132.79","","","","2"
"2001","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","123.35","","","","2"
"2002","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","120.58","","","","2"
"2003","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","121.10","","","","2"
"2004","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","118.37","","","","2"
"2005","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","117.91","","","","2"
"2006","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","117.93","","","","2"
"2007","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","109.16","","","","2"
"2008","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","105.81","","","","2"
"2009","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","102.30","","","","2"
"2010","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","98.50","","","","2"
"2011","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","98.07","","","","2"
"2012","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","88.78","","","","2"
"2013","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","80.13","","","","2"
"2014","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","73.28","","","","2"
"2015","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","77.44","","","","2"
"2016","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","72.28","","","","2"
"2017","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","74.41","","","","2"
"2018","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","71.92","","","","2"
"2019","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","75.98","","","","2"
"2020","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","73.13","","","","2"
"2021","Montréal, Quebec [24462]","2021A003524462","Violent crime severity index","Index","160","units","0","v44312541","14.3","82.04","","","","2"
"2000","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-4.74","","","","2"
"2001","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-7.11","","","","2"
"2002","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-2.25","","","","2"
"2003","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","0.43","","","","2"
"2004","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-2.25","","","","2"
"2005","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-0.39","","","","2"
"2006","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","0.02","","","","2"
"2007","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-7.44","","","","2"
"2008","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-3.07","","","","2"
"2009","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-3.32","","","","2"
"2010","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-3.71","","","","2"
"2011","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-0.44","","","","2"
"2012","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-9.47","","","","2"
"2013","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-9.74","","","","2"
"2014","Montréal, Quebec [24462]","2021A003524462","Percent change in violent crime severity index","Percent","239","units","0","v44312542","14.4","-8.55","","","","2"
