"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-01","Alberta","2016A000248","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064510","10.1.1.1.1.1","3527.7","","","","1"
"2021-01","Alberta","2016A000248","Population","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064537","10.1.1.2.1.1","523.5","","","","1"
"2021-01","Alberta","2016A000248","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064618","10.1.1.5.1.1","3004.2","","","","1"
"2021-01","Alberta","2016A000248","Population","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064645","10.1.1.6.1.1","1867.9","","","","1"
"2021-01","Alberta","2016A000248","Population","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064672","10.1.1.7.1.1","1136.3","","","","1"
"2021-01","Alberta","2016A000248","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064511","10.2.1.1.1.1","2452.0","","","","1"
"2021-01","Alberta","2016A000248","Labour force","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064538","10.2.1.2.1.1","322.1","","","","1"
"2021-01","Alberta","2016A000248","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064619","10.2.1.5.1.1","2129.9","","","","1"
"2021-01","Alberta","2016A000248","Labour force","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064646","10.2.1.6.1.1","1636.2","","","","1"
"2021-01","Alberta","2016A000248","Labour force","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064673","10.2.1.7.1.1","493.7","","","","1"
"2021-01","Alberta","2016A000248","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064512","10.3.1.1.1.1","2199.6","","","","1"
"2021-01","Alberta","2016A000248","Employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064539","10.3.1.2.1.1","253.9","","","","1"
"2021-01","Alberta","2016A000248","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064620","10.3.1.5.1.1","1945.6","","","","1"
"2021-01","Alberta","2016A000248","Employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064647","10.3.1.6.1.1","1496.8","","","","1"
"2021-01","Alberta","2016A000248","Employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064674","10.3.1.7.1.1","448.8","","","","1"
"2021-01","Alberta","2016A000248","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064513","10.4.1.1.1.1","1793.6","","","","1"
"2021-01","Alberta","2016A000248","Full-time employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064540","10.4.1.2.1.1","136.7","","","","1"
"2021-01","Alberta","2016A000248","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064621","10.4.1.5.1.1","1656.9","","","","1"
"2021-01","Alberta","2016A000248","Full-time employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064648","10.4.1.6.1.1","1309.7","","","","1"
"2021-01","Alberta","2016A000248","Full-time employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064675","10.4.1.7.1.1","347.2","","","","1"
"2021-01","Alberta","2016A000248","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064514","10.5.1.1.1.1","406.0","","","","1"
"2021-01","Alberta","2016A000248","Part-time employment ","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064541","10.5.1.2.1.1","117.2","","","","1"
"2021-01","Alberta","2016A000248","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064622","10.5.1.5.1.1","288.8","","","","1"
"2021-01","Alberta","2016A000248","Part-time employment ","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064649","10.5.1.6.1.1","187.1","","","","1"
"2021-01","Alberta","2016A000248","Part-time employment ","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064676","10.5.1.7.1.1","101.6","","","","1"
"2021-01","Alberta","2016A000248","Unemployment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064515","10.6.1.1.1.1","252.4","","","","1"
"2021-01","Alberta","2016A000248","Unemployment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064542","10.6.1.2.1.1","68.1","","","","1"
"2021-01","Alberta","2016A000248","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064623","10.6.1.5.1.1","184.3","","","","1"
"2021-01","Alberta","2016A000248","Unemployment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064650","10.6.1.6.1.1","139.3","","","","1"
"2021-01","Alberta","2016A000248","Unemployment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064677","10.6.1.7.1.1","44.9","","","","1"
"2021-01","Alberta","2016A000248","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064516","10.7.1.1.1.1","10.3","","","","1"
"2021-01","Alberta","2016A000248","Unemployment rate","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064543","10.7.1.2.1.1","21.1","","","","1"
"2021-01","Alberta","2016A000248","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064624","10.7.1.5.1.1","8.7","","","","1"
