"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","British Columbia","2016A000259","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064699","11.1.1.1.1.1","4247.1","","","","1"
"2019-07","British Columbia","2016A000259","Population","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064726","11.1.1.2.1.1","607.1","","","","1"
"2019-07","British Columbia","2016A000259","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064807","11.1.1.5.1.1","3640.0","","","","1"
"2019-07","British Columbia","2016A000259","Population","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064834","11.1.1.6.1.1","2024.3","","","","1"
"2019-07","British Columbia","2016A000259","Population","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064861","11.1.1.7.1.1","1615.7","","","","1"
"2019-07","British Columbia","2016A000259","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064700","11.2.1.1.1.1","2813.2","","","","1"
"2019-07","British Columbia","2016A000259","Labour force","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064727","11.2.1.2.1.1","408.6","","","","1"
"2019-07","British Columbia","2016A000259","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064808","11.2.1.5.1.1","2404.6","","","","1"
"2019-07","British Columbia","2016A000259","Labour force","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064835","11.2.1.6.1.1","1777.5","","","","1"
"2019-07","British Columbia","2016A000259","Labour force","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064862","11.2.1.7.1.1","627.1","","","","1"
